dataset,model,heuristic,metric,baseline_mean,baseline_std,curriculum_mean,curriculum_std,improvement_pct,t_stat,p_value,cohens_d,significant
citeseer,gat,,heart_hits@50,0.9384615384615385,0.01480868617839387,0.9384615384615385,0.01480868617839387,0.0,,,0.0,False
citeseer,gcn,aa,heart_mrr,0.4761250015850095,0.04270406155882673,0.45845761553046893,0.04169946270462334,-3.710661275027821,-1.0610140137562185,0.3163250466091607,-0.3971295542920773,False
citeseer,gcn,aa,heart_hits@10,0.7265934065934065,0.04039653707565024,0.7210989010989011,0.04096941463623559,-0.7562008469449459,-0.49883740085160666,0.6298582931474854,-0.1281227906794327,False
citeseer,gcn,aa,heart_hits@50,0.9505494505494505,0.008179250138869639,0.9527472527472527,0.01036701223302924,0.23121387283236913,0.48538860126793476,0.6389978144260837,0.22329687826943506,False
citeseer,gcn,cn,heart_mrr,0.4761250015850095,0.04270406155882673,0.4593076006305906,0.04342076771027531,-3.5321398579016243,-1.009943131126251,0.3389024801176525,-0.3704816633761852,False
citeseer,gcn,cn,heart_hits@10,0.7265934065934065,0.04039653707565024,0.7246153846153847,0.043923614410818664,-0.2722323049001683,-0.1740342558912102,0.8656902533499423,-0.04447043435862268,False
citeseer,gcn,cn,heart_hits@50,0.9505494505494505,0.008179250138869639,0.952967032967033,0.010364682305539864,0.2543352601156154,0.5389596094849546,0.602989175987902,0.2456605934659623,False
citeseer,gcn,ra,heart_mrr,0.4761250015850095,0.04270406155882673,0.457741320525521,0.04287967052226725,-3.8611039114286356,-1.1158265327037313,0.29340149928188775,-0.4075600359929516,False
citeseer,gcn,ra,heart_hits@10,0.7265934065934065,0.04039653707565024,0.7221978021978023,0.04193369732830371,-0.6049606775559415,-0.43077489517064244,0.6767647933073493,-0.10128259371027792,False
citeseer,gcn,ra,heart_hits@50,0.9505494505494505,0.008179250138869639,0.9531868131868132,0.010633820134859733,0.27745664739884995,0.5738190417570086,0.5801452070606912,0.2637521893583203,False
citeseer,gcn,,heart_mrr,0.4761250015850095,0.04270406155882673,0.4761250015850095,0.04270406155882673,0.0,,,0.0,False
citeseer,gcn,,heart_hits@10,0.7265934065934065,0.04039653707565024,0.7265934065934065,0.04039653707565024,0.0,,,0.0,False
citeseer,gcn,,heart_hits@50,0.9505494505494505,0.008179250138869639,0.9505494505494505,0.008179250138869639,0.0,,,0.0,False
cora,gat,aa,heart_mrr,0.5226424752737101,0.0334151602274123,0.5061170912478694,0.04960766645668343,-3.1618907393981477,-0.7699567405865524,0.4610562981066134,-0.37067934441781425,False
cora,gat,aa,heart_hits@10,0.7967741935483871,0.02532264996297113,0.8015180265654649,0.03160631926171844,0.5953798523457986,0.3698352545411544,0.7200580269526544,0.15715122451017507,False
